Temperature,regular,abnormal,necrotic,unfertilized,nonviable
-1.5,1.48,17.04,0.74,35.56,45.19
0.3,27.53,16.85,26.40,15.73,13.48
2.2,42.55,7.98,21.28,26.60,1.60
3.8,57.69,6.41,13.46,17.31,5.13
5.4,57.71,2.29,14.86,18.86,6.29
6.9,74.86,1.71,6.86,10.86,5.71
8.2,70.68,2.09,7.33,14.66,5.24
9.4,77.30,1.08,8.65,5.95,7.03
10.8,72.88,7.34,4.52,8.47,6.78
12,62.16,7.21,18.02,7.21,5.41
-1.5,41.96,40.18,2.68,13.39,1.79
0.3,78.74,6.30,6.30,7.09,1.57
2.2,81.97,2.46,5.74,8.20,1.64
3.8,84.40,0.71,7.80,6.38,0.71
5.4,80.15,1.47,10.29,6.62,1.47
6.9,85.52,2.07,7.59,4.83,0.00
8.2,82.95,3.10,5.43,8.53,0.00
9.4,80.43,5.07,8.70,5.80,0.00
10.8,82.73,3.60,1.44,10.79,1.44
12,56.60,24.53,7.55,11.32,0.00
-1.5,75.89,5.36,6.25,9.82,2.68
0.3,84.75,0.85,0.85,12.71,0.85
2.2,94.90,0.00,0.00,2.04,3.06
3.8,91.15,0.00,0.00,8.85,0.00
5.4,92.92,0.00,0.88,6.19,0.00
6.9,85.71,0.00,9.02,5.26,0.00
8.2,86.55,0.00,0.84,12.61,0.00
9.4,84.07,1.77,6.19,7.96,0.00
10.8,82.57,2.75,2.75,11.01,0.92
12,67.50,1.25,22.50,7.50,1.25
-1.5,48.57,29.52,6.67,11.43,3.81
0.3,82.89,7.24,1.97,7.24,0.66
2.2,89.33,0.00,2.67,7.33,0.67
3.8,92.36,0.00,1.27,3.18,3.18
5.4,91.61,0.00,1.40,6.99,0.00
6.9,93.53,0.00,0.72,4.32,1.44
8.2,94.93,0.72,0.00,4.35,0.00
9.4,86.81,0.69,0.00,12.50,0.00
10.8,79.31,1.38,0.69,16.55,2.07
12,79.01,0.00,2.47,14.81,3.70
-1.5,53.13,13.28,0.78,24.22,8.59
0.3,64.94,5.19,5.19,17.53,7.14
2.2,77.24,8.13,0.81,6.50,7.32
3.8,80.00,0.80,3.20,10.40,5.60
5.4,85.29,2.94,5.88,2.21,3.68
6.9,88.24,1.31,0.65,5.88,3.92
8.2,92.41,0.00,0.00,3.45,4.14
9.4,84.56,5.37,2.01,4.70,3.36
10.8,80.82,2.74,5.48,6.16,4.79
12,69.61,11.76,6.86,5.88,5.88
