fert,female,temp
76.623,F1,4.23
82.143,F1,5.52
75.949,F1,6.57
82.927,F1,7.46
68.889,F1,8.49
78.049,F1,9.36
80,F1,10.46
61.957,F1,10.72
63.333,F1,11.37
52.941,F1,12.42
40.678,F2,4.23
43.548,F2,5.52
48.214,F2,6.57
43.86,F2,7.46
48.485,F2,8.49
47.297,F2,9.36
50.769,F2,10.46
49.275,F2,10.72
46.667,F2,11.37
30,F2,12.42
77.551,F3,4.23
82.979,F3,5.52
75,F3,6.57
86.316,F3,7.46
89.873,F3,8.49
80.851,F3,9.36
79.592,F3,10.46
78.652,F3,10.72
71.429,F3,11.37
60.811,F3,12.42
78.302,F4,4.23
69.307,F4,5.52
72.727,F4,6.57
69.307,F4,7.46
69.524,F4,8.49
60.714,F4,9.36
62.626,F4,10.46
66.337,F4,10.72
56.075,F4,11.37
41.748,F4,12.42
