Survey,Year,Quarter,Area,AphiaID,Species,LngtClass,CPUE_number_per_hour
BITS,1991,1,22,126436,Gadus morhua,0,0
BITS,1991,1,22,126436,Gadus morhua,140,0.06577
BITS,1991,1,22,126436,Gadus morhua,150,0.049119
BITS,1991,1,22,126436,Gadus morhua,160,0.098655
BITS,1991,1,22,126436,Gadus morhua,170,0.213546
BITS,1991,1,22,126436,Gadus morhua,180,0.312202
BITS,1991,1,22,126436,Gadus morhua,190,0.361322
BITS,1991,1,22,126436,Gadus morhua,200,0.459978
BITS,1991,1,22,126436,Gadus morhua,210,0.470801
BITS,1991,1,22,126436,Gadus morhua,220,0.328436
BITS,1991,1,22,126436,Gadus morhua,230,0.295551
BITS,1991,1,22,126436,Gadus morhua,240,0.24102
BITS,1991,1,22,126436,Gadus morhua,250,0.155268
BITS,1991,1,22,126436,Gadus morhua,260,0.155268
BITS,1991,1,22,126436,Gadus morhua,270,0.035799
BITS,1991,1,22,126436,Gadus morhua,280,0.012071
BITS,1991,1,22,126436,Gadus morhua,290,0.012071
BITS,1991,1,22,126436,Gadus morhua,300,0.011222
BITS,1991,1,22,126436,Gadus morhua,310,0.022444
BITS,1991,1,22,126436,Gadus morhua,320,0.044888
BITS,1991,1,22,126436,Gadus morhua,330,0.093957
BITS,1991,1,22,126436,Gadus morhua,340,0.044888
BITS,1991,1,22,126436,Gadus morhua,350,0.113539
BITS,1991,1,22,126436,Gadus morhua,360,0.258572
BITS,1991,1,22,126436,Gadus morhua,370,0.117719
BITS,1991,1,22,126436,Gadus morhua,380,0.141896
BITS,1991,1,22,126436,Gadus morhua,390,0.098137
BITS,1991,1,22,126436,Gadus morhua,400,0.095274
BITS,1991,1,22,126436,Gadus morhua,410,0.384651
BITS,1991,1,22,126436,Gadus morhua,420,0.25389
BITS,1991,1,22,126436,Gadus morhua,430,0.939094
BITS,1991,1,22,126436,Gadus morhua,440,0.484521
BITS,1991,1,22,126436,Gadus morhua,450,0.188102
BITS,1991,1,22,126436,Gadus morhua,460,0.408829
BITS,1991,1,22,126436,Gadus morhua,470,0.114856
BITS,1991,1,22,126436,Gadus morhua,480,0.683384
BITS,1991,1,22,126436,Gadus morhua,490,0.435453
BITS,1991,1,22,126436,Gadus morhua,500,0.121898
BITS,1991,1,22,126436,Gadus morhua,510,0.130674
BITS,1991,1,22,126436,Gadus morhua,520,0.424231
BITS,1991,1,22,126436,Gadus morhua,530,0.378025
BITS,1991,1,22,126436,Gadus morhua,540,0.119452
BITS,1991,1,22,126436,Gadus morhua,550,0.114856
BITS,1991,1,22,126436,Gadus morhua,560,0.046205
BITS,1991,1,22,126436,Gadus morhua,570,0.077009
BITS,1991,1,22,126436,Gadus morhua,580,0.092411
BITS,1991,1,22,126436,Gadus morhua,590,0.119452
BITS,1991,1,22,126436,Gadus morhua,600,0.057428
BITS,1991,1,22,126436,Gadus morhua,610,0.057428
BITS,1991,1,22,126436,Gadus morhua,620,0.32436
BITS,1991,1,22,126436,Gadus morhua,630,0.308958
BITS,1991,1,22,126436,Gadus morhua,640,0.32436
BITS,1991,1,22,126436,Gadus morhua,650,0.061607
BITS,1991,1,22,126436,Gadus morhua,660,0.061607
BITS,1991,1,22,126436,Gadus morhua,670,0.278154
BITS,1991,1,22,126436,Gadus morhua,680,0.015401
BITS,1991,1,22,126436,Gadus morhua,690,0.030803
BITS,1991,1,22,126436,Gadus morhua,710,0.030803
BITS,1991,1,22,126436,Gadus morhua,730,0.015401
BITS,1991,1,22,126436,Gadus morhua,750,0.015401
BITS,1991,1,22,126436,Gadus morhua,760,0.015401
BITS,1991,1,22,126436,Gadus morhua,780,0.24735
BITS,1991,1,22,126436,Gadus morhua,790,0.015401
BITS,1991,1,22,126436,Gadus morhua,800,0.015401
BITS,1991,1,22,126436,Gadus morhua,810,0.24735
BITS,1991,1,22,126436,Gadus morhua,820,0.015401
BITS,1991,1,22,126436,Gadus morhua,880,0.015401
BITS,1991,1,22,126436,Gadus morhua,920,0.015401
BITS,1991,1,22,126436,Gadus morhua,1060,0.015401
BITS,1991,1,22,126436,Gadus morhua,1080,0.015401
BITS,1991,1,24,126436,Gadus morhua,0,0
BITS,1991,1,24,126436,Gadus morhua,60,0.061034
BITS,1991,1,24,126436,Gadus morhua,70,0.061034
BITS,1991,1,24,126436,Gadus morhua,80,0.030292
BITS,1991,1,24,126436,Gadus morhua,90,0.061034
BITS,1991,1,24,126436,Gadus morhua,100,0.308982
BITS,1991,1,24,126436,Gadus morhua,110,0.206146
BITS,1991,1,24,126436,Gadus morhua,120,0.257222
BITS,1991,1,24,126436,Gadus morhua,130,0.257222
BITS,1991,1,24,126436,Gadus morhua,140,0.360058
BITS,1991,1,24,126436,Gadus morhua,150,0.343052
BITS,1991,1,24,126436,Gadus morhua,160,0.102835
BITS,1991,1,24,126436,Gadus morhua,170,0.05155
BITS,1991,1,24,126436,Gadus morhua,180,0.10331
BITS,1991,1,24,126436,Gadus morhua,190,0.128611
BITS,1991,1,24,126436,Gadus morhua,200,0.102835
BITS,1991,1,24,126436,Gadus morhua,210,0.132597
BITS,1991,1,24,126436,Gadus morhua,220,0.05155
BITS,1991,1,24,126436,Gadus morhua,230,0.025775
BITS,1991,1,24,126436,Gadus morhua,240,0.057662
BITS,1991,1,24,126436,Gadus morhua,250,0.0752
BITS,1991,1,24,126436,Gadus morhua,260,0.028166
BITS,1991,1,24,126436,Gadus morhua,270,0.088699
BITS,1991,1,24,126436,Gadus morhua,280,0.159914
BITS,1991,1,24,126436,Gadus morhua,290,0.131268
BITS,1991,1,24,126436,Gadus morhua,300,0.157044
BITS,1991,1,24,126436,Gadus morhua,310,0.4126
BITS,1991,1,24,126436,Gadus morhua,320,0.485279
BITS,1991,1,24,126436,Gadus morhua,330,0.576625
BITS,1991,1,24,126436,Gadus morhua,340,0.596289
BITS,1991,1,24,126436,Gadus morhua,350,1.251835
BITS,1991,1,24,126436,Gadus morhua,360,1.174702
BITS,1991,1,24,126436,Gadus morhua,370,0.739249
BITS,1991,1,24,126436,Gadus morhua,380,0.863183
BITS,1991,1,24,126436,Gadus morhua,390,0.935726
BITS,1991,1,24,126436,Gadus morhua,400,0.632959
