Decimal Year,STemperature °C,Salinity,DTemperature °C,DSalinity
1952.0417,4.777,33.523,6.81,34.905
1952.125,,,,
1952.2083,,,,
1952.2917,5.88,30.548,,
1952.375,8.947,30.794,5.94,35.1
1952.4583,10.536,31.754,,
1952.5417,,,,
1952.625,15.976,32.464,6.85,34.84
1952.7083,,,,
1952.7917,,,,
1952.875,8.529,33.144,8.38,34.99
1952.9583,,,,
1953.0417,3.067,30.48,,
1953.125,4.441,33.535,6.85,34.99
1953.2083,3.819,32.572,6.245,35.08
1953.2917,,,,
1953.375,7.657,32.377,6.515,34.975
1953.4583,11.41,30.532,,
1953.5417,,,,
1953.625,14.863,30.68,,
1953.7083,14.137,30.633,,
1953.7917,,,,
1953.875,10.978,31.161,7.92,35.05
1953.9583,,,,
1954.0417,7.1,34.24,,
1954.125,,,,
1954.2083,,,,
1954.2917,,,,
1954.375,12.87,27.56,,
1954.4583,,,,
1954.5417,,,,
1954.625,15.382,31.789,6.985,35.055
1954.7083,,,,
1954.7917,11.341,33.036,7.295,35.06
1954.875,8.939,33.511,8.56,34.74
1954.9583,,,,
1955.0417,5.014,32.917,7.705,35.165
1955.125,,,,
1955.2083,,,,
1955.2917,4.003,29.09,5.93,34.85
1955.375,,,,
1955.4583,11.947,30.477,6.235,35.14
1955.5417,,,,
1955.625,17.171,31.475,6.65,34.99
1955.7083,,,,
1955.7917,,,,
1955.875,,,,
1955.9583,,,,
1956.0417,4.896,32.789,,
1956.125,2.866,32.977,6.35,34.7
1956.2083,1.256,28.343,,
1956.2917,,,,
1956.375,5.359,26.929,,
1956.4583,12.218,30.307,5.52,35.1
1956.5417,,,,
1956.625,14.132,30.254,5.93,35.12
1956.7083,14.389,32.943,6.34,35.23
1956.7917,,,,
1956.875,,,,
1956.9583,7.001,33.048,7.91,34.7
1957.0417,4.987,33.161,7.04,34.72
1957.125,,,,
1957.2083,4.697,33.661,6.19,35.19
1957.2917,,,,
1957.375,,,,
1957.4583,,,,
1957.5417,,,,
1957.625,,,,
1957.7083,14.384,31.052,7.6,35.14
1957.7917,,,,
1957.875,,,,
1957.9583,,,,
1958.0417,,,,
1958.125,,,,
1958.2083,1.032,30.207,4.035,34.875
1958.2917,1.341,25.723,6.46,35.09
1958.375,6.49,26.952,5.293,35.07
1958.4583,12.565,28.089,5.68,35.19
1958.5417,,,,
1958.625,,,,
1958.7083,,,,
1958.7917,,,,
1958.875,9.667,33.322,7.11,35.12
1958.9583,6.435,33.18,,
1959.0417,4.356,31.469,6.74,34.95
1959.125,,,,
1959.2083,,,,
1959.2917,6.313,32.727,6.115,35.145
1959.375,9.376,31.872,6.255,35.115
1959.4583,10.755,28.895,,
1959.5417,11.27,32.04,,
1959.625,17.623,29.584,8.065,35.23
1959.7083,15.804,32.22,7.92,35.2
1959.7917,,,,
1959.875,9.819,32.885,8.125,35.16
1959.9583,,,,
1960.0417,6.904,33.003,8.125,35.025
1960.125,,,,
1960.2083,3.958,33.482,6.64,35.1
1960.2917,3.556,30.299,6.325,34.9
1960.375,,,,
1960.4583,12.605,30.292,6.785,35.203
1960.5417,,,,
1960.625,,,,
1960.7083,13.794,32.848,7.37,35.185
1960.7917,,,,
1960.875,,,,
1960.9583,7.43,33.788,7.195,35.091
1961.0417,5.211,32.886,7.205,34.993
1961.125,3.657,31.602,5.325,34.919
1961.2083,,,,
1961.2917,7.631,33.58,7.085,35.174
1961.375,,,,
1961.4583,12.818,31.346,7.05,35.092
1961.5417,,,,
1961.625,14.807,31.08,7.555,35.05
1961.7083,,,,
1961.7917,,,,
1961.875,,,,
1961.9583,,,,
1962.0417,5.086,32.855,6.12,34.782
1962.125,,,,
1962.2083,,,,
1962.2917,,,,
1962.375,,,,
1962.4583,12.146,28.363,6.375,35.106
1962.5417,,,,
1962.625,,,,
1962.7083,13.694,30.982,7.105,35.114
1962.7917,11.198,28.378,7.395,35.23
1962.875,,,,
1962.9583,6.779,30.394,8.54,34.874
1963.0417,2.256,31.627,5.815,35.065
1963.125,,,,
1963.2083,,,,
1963.2917,0.353,27.11,3.305,34.825
1963.375,4.869,25.231,4.18,34.963
1963.4583,11.299,29.51,5.2,35.062
1963.5417,14.176,30.388,5.04,35.036
1963.625,,,,
1963.7083,,,,
1963.7917,11.083,32.82,7.18,35.121
1963.875,,,,
1963.9583,,,,
1964.0417,,,,
1964.125,,,,
1964.2083,,,,
1964.2917,4.58,26.172,5.64,35.103
1964.375,,,,
1964.4583,10.29,32.525,6.32,35.203
1964.5417,12.068,31.806,6.395,35.188
1964.625,14.539,32.06,6.68,35.124
1964.7083,12.384,32.921,7.53,35.011
1964.7917,,,,
1964.875,,,,
1964.9583,,,,
1965.0417,5.838,32.918,7.595,35.079
1965.125,,,,
1965.2083,3.329,31.765,6.66,35.079
1965.2917,3.386,30.753,6.66,35.16
1965.375,6.457,33.495,6.37,35.144
1965.4583,11.702,31.255,6.365,35.14
1965.5417,,,,
1965.625,13.086,32.255,6.82,35.136
1965.7083,14.522,31.965,6.955,35.187
1965.7917,12.095,30.867,7.01,35.162
1965.875,,,,
1965.9583,5.473,32.851,7.08,34.974
1966.0417,,,,
1966.125,,,,
1966.2083,2.549,32.035,4.54,34.896
1966.2917,,,,
1966.375,,,,
1966.4583,13.631,29.973,6.065,35.129
1966.5417,,,,
1966.625,13.892,32.1,7.55,35.074
1966.7083,13.914,30.49,6.395,35.031
1966.7917,,,,
1966.875,10.49,32.542,6.5,35.105
1966.9583,7.621,33.91,6.985,35.087
1967.0417,4.257,32.985,6.745,34.925
1967.125,,,,
1967.2083,4.786,33.034,5.89,34.919
1967.2917,,,,
1967.375,6.841,30.685,5.96,35.135
1967.4583,,,,
1967.5417,14.45,28.62,6.935,35.21
1967.625,15.57,30.901,7.345,35.207
1967.7083,,,,
1967.7917,11.746,33.307,8.485,35.166
1967.875,,,,
1967.9583,6.974,32.878,8.465,34.931
1968.0417,4.644,33.671,5.815,34.991
1968.125,,,,
1968.2083,3.188,32.343,5.95,35.084
1968.2917,5.387,31.571,6.085,35.097
1968.375,,,,
1968.4583,12.8,28.687,5.848,35.118
1968.5417,,,,
1968.625,15.12,29.909,6.435,35.249
1968.7083,,,,
1968.7917,12.678,31.903,6.825,35.206
1968.875,,,,
1968.9583,6.797,32.075,8.045,35.202
1969.0417,,,,
1969.125,,,,
1969.2083,,,,
1969.2917,,,,
1969.375,6.442,29.842,5.64,35.018
1969.4583,11.94,29.236,5.635,35.162
1969.5417,,,,
1969.625,18.118,30.418,5.745,35.059
1969.7083,,,,
1969.7917,,,,
