Survey,Year,Quarter,Area,AphiaID,Species,LngtClass,CPUE_number_per_hour
NS-IBTS,1965,1,6,126417,Clupea harengus,15,0.25
NS-IBTS,1965,1,6,126417,Clupea harengus,95,0.25
NS-IBTS,1965,1,6,126417,Clupea harengus,100,0.5
NS-IBTS,1965,1,6,126417,Clupea harengus,105,1.5
NS-IBTS,1965,1,6,126417,Clupea harengus,110,5.5
NS-IBTS,1965,1,6,126417,Clupea harengus,115,28.25
NS-IBTS,1965,1,6,126417,Clupea harengus,120,6
NS-IBTS,1965,1,6,126417,Clupea harengus,125,61.75
NS-IBTS,1965,1,6,126417,Clupea harengus,130,88.25
NS-IBTS,1965,1,6,126417,Clupea harengus,135,556.75
NS-IBTS,1965,1,6,126417,Clupea harengus,140,958.25
NS-IBTS,1965,1,6,126417,Clupea harengus,145,1920.25
NS-IBTS,1965,1,6,126417,Clupea harengus,150,2340.25
NS-IBTS,1965,1,6,126417,Clupea harengus,155,1969.75
NS-IBTS,1965,1,6,126417,Clupea harengus,160,1023.5
NS-IBTS,1965,1,6,126417,Clupea harengus,165,466
NS-IBTS,1965,1,6,126417,Clupea harengus,170,104
NS-IBTS,1965,1,6,126417,Clupea harengus,175,98
NS-IBTS,1965,1,6,126417,Clupea harengus,180,3.25
NS-IBTS,1965,1,6,126417,Clupea harengus,260,0.25
NS-IBTS,1965,1,6,126425,Sprattus sprattus,0,0
NS-IBTS,1965,1,6,126425,Sprattus sprattus,90,168
NS-IBTS,1965,1,6,126425,Sprattus sprattus,95,99.75
NS-IBTS,1965,1,6,126425,Sprattus sprattus,100,131.25
NS-IBTS,1965,1,6,126425,Sprattus sprattus,105,176.25
NS-IBTS,1965,1,6,126425,Sprattus sprattus,110,530.25
NS-IBTS,1965,1,6,126425,Sprattus sprattus,115,404.25
NS-IBTS,1965,1,6,126425,Sprattus sprattus,120,289.5
NS-IBTS,1965,1,6,126425,Sprattus sprattus,125,185.25
NS-IBTS,1965,1,6,126425,Sprattus sprattus,130,42.75
NS-IBTS,1965,1,6,126425,Sprattus sprattus,135,51.75
NS-IBTS,1965,1,6,126425,Sprattus sprattus,140,3.75
NS-IBTS,1965,1,6,126425,Sprattus sprattus,145,24
NS-IBTS,1965,1,6,126425,Sprattus sprattus,150,3.75
NS-IBTS,1965,1,6,126425,Sprattus sprattus,155,3.75
NS-IBTS,1965,1,2,126417,Clupea harengus,130,0.166666
NS-IBTS,1965,1,2,126417,Clupea harengus,140,0.333333
NS-IBTS,1965,1,2,126417,Clupea harengus,145,2.833333
NS-IBTS,1965,1,2,126417,Clupea harengus,150,12.833333
NS-IBTS,1965,1,2,126417,Clupea harengus,155,24.5
NS-IBTS,1965,1,2,126417,Clupea harengus,160,68.166666
NS-IBTS,1965,1,2,126417,Clupea harengus,165,84.833333
NS-IBTS,1965,1,2,126417,Clupea harengus,170,91.166666
NS-IBTS,1965,1,2,126417,Clupea harengus,175,67.833333
NS-IBTS,1965,1,2,126417,Clupea harengus,180,29.833333
NS-IBTS,1965,1,2,126417,Clupea harengus,185,23.166666
NS-IBTS,1965,1,2,126417,Clupea harengus,190,23.5
NS-IBTS,1965,1,2,126417,Clupea harengus,195,13
NS-IBTS,1965,1,2,126417,Clupea harengus,200,28.166666
NS-IBTS,1965,1,2,126417,Clupea harengus,205,18.333333
NS-IBTS,1965,1,2,126417,Clupea harengus,210,14.166666
NS-IBTS,1965,1,2,126417,Clupea harengus,215,12
NS-IBTS,1965,1,2,126417,Clupea harengus,220,7.333333
NS-IBTS,1965,1,2,126417,Clupea harengus,225,6.166666
NS-IBTS,1965,1,2,126417,Clupea harengus,230,4
NS-IBTS,1965,1,2,126417,Clupea harengus,235,1
NS-IBTS,1965,1,2,126417,Clupea harengus,260,1
NS-IBTS,1965,1,2,126425,Sprattus sprattus,0,0
NS-IBTS,1965,1,2,126425,Sprattus sprattus,100,2
NS-IBTS,1965,1,2,126425,Sprattus sprattus,105,7
NS-IBTS,1965,1,2,126425,Sprattus sprattus,110,20.166666
NS-IBTS,1965,1,2,126425,Sprattus sprattus,115,26.333333
NS-IBTS,1965,1,2,126425,Sprattus sprattus,120,17.333333
NS-IBTS,1965,1,2,126425,Sprattus sprattus,125,10
NS-IBTS,1965,1,2,126425,Sprattus sprattus,130,3.333333
NS-IBTS,1965,1,2,126425,Sprattus sprattus,135,3.166666
NS-IBTS,1965,1,2,126425,Sprattus sprattus,140,1.333333
NS-IBTS,1965,1,2,126425,Sprattus sprattus,145,2
NS-IBTS,1965,1,2,126425,Sprattus sprattus,150,1
NS-IBTS,1965,2,4,126417,Clupea harengus,135,3
NS-IBTS,1965,2,4,126425,Sprattus sprattus,90,9
NS-IBTS,1965,2,4,126425,Sprattus sprattus,95,63
NS-IBTS,1965,2,4,126425,Sprattus sprattus,100,99
NS-IBTS,1965,2,4,126425,Sprattus sprattus,105,306
NS-IBTS,1965,2,4,126425,Sprattus sprattus,110,423
NS-IBTS,1965,2,4,126425,Sprattus sprattus,115,468
NS-IBTS,1965,2,4,126425,Sprattus sprattus,120,900
NS-IBTS,1965,2,4,126425,Sprattus sprattus,125,369
NS-IBTS,1965,2,4,126425,Sprattus sprattus,130,243
NS-IBTS,1965,2,4,126425,Sprattus sprattus,135,117
NS-IBTS,1965,2,4,126425,Sprattus sprattus,140,99
NS-IBTS,1965,2,4,126425,Sprattus sprattus,145,27
NS-IBTS,1965,2,4,126425,Sprattus sprattus,150,18
NS-IBTS,1965,2,4,126425,Sprattus sprattus,155,9
NS-IBTS,1965,2,5,126417,Clupea harengus,115,4
NS-IBTS,1965,2,5,126417,Clupea harengus,120,3
NS-IBTS,1965,2,5,126417,Clupea harengus,125,6
NS-IBTS,1965,2,5,126417,Clupea harengus,130,11
NS-IBTS,1965,2,5,126417,Clupea harengus,135,3
NS-IBTS,1965,2,5,126417,Clupea harengus,140,5
NS-IBTS,1965,2,5,126417,Clupea harengus,145,9
NS-IBTS,1965,2,5,126417,Clupea harengus,150,4
NS-IBTS,1965,2,5,126417,Clupea harengus,155,8
NS-IBTS,1965,2,5,126417,Clupea harengus,160,9
NS-IBTS,1965,2,5,126417,Clupea harengus,165,7
NS-IBTS,1965,2,5,126417,Clupea harengus,170,6
NS-IBTS,1965,2,5,126417,Clupea harengus,175,4
NS-IBTS,1965,2,5,126417,Clupea harengus,180,5
NS-IBTS,1965,2,5,126417,Clupea harengus,185,1
NS-IBTS,1965,2,5,126417,Clupea harengus,190,1
NS-IBTS,1965,2,5,126417,Clupea harengus,195,3
NS-IBTS,1965,2,5,126417,Clupea harengus,205,1
NS-IBTS,1965,2,5,126417,Clupea harengus,235,1
NS-IBTS,1965,2,5,126417,Clupea harengus,285,1
NS-IBTS,1965,2,5,126417,Clupea harengus,290,1
NS-IBTS,1965,2,5,126425,Sprattus sprattus,95,18
NS-IBTS,1965,2,5,126425,Sprattus sprattus,100,24
NS-IBTS,1965,2,5,126425,Sprattus sprattus,105,48
NS-IBTS,1965,2,5,126425,Sprattus sprattus,110,84
NS-IBTS,1965,2,5,126425,Sprattus sprattus,115,126
NS-IBTS,1965,2,5,126425,Sprattus sprattus,120,114
NS-IBTS,1965,2,5,126425,Sprattus sprattus,125,66
NS-IBTS,1965,2,5,126425,Sprattus sprattus,130,48
NS-IBTS,1965,2,5,126425,Sprattus sprattus,135,54
NS-IBTS,1965,2,5,126425,Sprattus sprattus,140,24
NS-IBTS,1965,2,5,126425,Sprattus sprattus,145,6
NS-IBTS,1965,2,5,126425,Sprattus sprattus,150,6
NS-IBTS,1965,2,6,126425,Sprattus sprattus,120,263.999999
NS-IBTS,1965,2,6,126425,Sprattus sprattus,125,242.2
NS-IBTS,1965,2,6,126425,Sprattus sprattus,130,130.5
NS-IBTS,1965,2,6,126425,Sprattus sprattus,135,45.799999
NS-IBTS,1965,2,6,126425,Sprattus sprattus,140,34.2
NS-IBTS,1965,2,6,126425,Sprattus sprattus,145,33.799999
NS-IBTS,1965,2,6,126425,Sprattus sprattus,150,6
NS-IBTS,1965,2,6,126425,Sprattus sprattus,155,4.2
NS-IBTS,1965,2,6,126425,Sprattus sprattus,160,1.8
NS-IBTS,1965,2,7,126417,Clupea harengus,120,10.166666
NS-IBTS,1965,2,7,126417,Clupea harengus,125,31.833333
NS-IBTS,1965,2,7,126417,Clupea harengus,130,62
