Survey,Year,Quarter,Area,AphiaID,Species,LngtClass,Herring CPUE
BITS,1991,1,22,126417,Clupea harengus,0,0
BITS,1991,1,22,126417,Clupea harengus,80,0.075761
BITS,1991,1,22,126417,Clupea harengus,85,0.088249
BITS,1991,1,22,126417,Clupea harengus,95,0.03788
BITS,1991,1,22,126417,Clupea harengus,100,0.063273
BITS,1991,1,22,126417,Clupea harengus,105,0.012488
BITS,1991,1,22,126417,Clupea harengus,110,0.61816
BITS,1991,1,22,126417,Clupea harengus,115,0.521372
BITS,1991,1,22,126417,Clupea harengus,120,0.782171
BITS,1991,1,22,126417,Clupea harengus,125,1.753683
BITS,1991,1,22,126417,Clupea harengus,130,1.4507
BITS,1991,1,22,126417,Clupea harengus,135,3.103291
BITS,1991,1,22,126417,Clupea harengus,140,7.822894
BITS,1991,1,22,126417,Clupea harengus,145,2.551676
BITS,1991,1,22,126417,Clupea harengus,150,3.155676
BITS,1991,1,22,126417,Clupea harengus,155,0.494047
BITS,1991,1,22,126417,Clupea harengus,160,1.490597
BITS,1991,1,22,126417,Clupea harengus,165,0.668529
BITS,1991,1,22,126417,Clupea harengus,170,0.79633
BITS,1991,1,22,126417,Clupea harengus,175,1.486325
BITS,1991,1,22,126417,Clupea harengus,180,4.560653
BITS,1991,1,22,126417,Clupea harengus,185,8.073627
BITS,1991,1,22,126417,Clupea harengus,190,11.847525
BITS,1991,1,22,126417,Clupea harengus,195,4.344257
BITS,1991,1,22,126417,Clupea harengus,200,9.352932
BITS,1991,1,22,126417,Clupea harengus,205,4.766055
BITS,1991,1,22,126417,Clupea harengus,210,11.736876
BITS,1991,1,22,126417,Clupea harengus,215,6.456349
BITS,1991,1,22,126417,Clupea harengus,220,7.876807
BITS,1991,1,22,126417,Clupea harengus,225,3.939281
BITS,1991,1,22,126417,Clupea harengus,230,2.822044
BITS,1991,1,22,126417,Clupea harengus,235,2.256008
BITS,1991,1,22,126417,Clupea harengus,240,3.530555
BITS,1991,1,22,126417,Clupea harengus,245,0.957175
BITS,1991,1,22,126417,Clupea harengus,250,1.735313
BITS,1991,1,22,126417,Clupea harengus,255,0.278907
BITS,1991,1,22,126417,Clupea harengus,260,0.737091
BITS,1991,1,22,126417,Clupea harengus,265,1.120341
BITS,1991,1,22,126417,Clupea harengus,270,0.930097
BITS,1991,1,22,126417,Clupea harengus,275,0.9083
BITS,1991,1,22,126417,Clupea harengus,280,0.088249
BITS,1991,1,22,126417,Clupea harengus,285,0.012488
BITS,1991,1,22,126417,Clupea harengus,290,0.442917
BITS,1991,1,22,126417,Clupea harengus,295,0.14105
BITS,1991,1,22,126417,Clupea harengus,300,0.138617
BITS,1991,1,22,126417,Clupea harengus,305,0.077777
BITS,1991,1,24,126417,Clupea harengus,0,0
BITS,1991,1,24,126417,Clupea harengus,70,2.079572
BITS,1991,1,24,126417,Clupea harengus,80,2.122356
BITS,1991,1,24,126417,Clupea harengus,85,2.079572
BITS,1991,1,24,126417,Clupea harengus,90,2.480555
BITS,1991,1,24,126417,Clupea harengus,95,5.599913
BITS,1991,1,24,126417,Clupea harengus,100,25.68562
BITS,1991,1,24,126417,Clupea harengus,105,16.075369
BITS,1991,1,24,126417,Clupea harengus,110,75.465733
BITS,1991,1,24,126417,Clupea harengus,115,119.219638
BITS,1991,1,24,126417,Clupea harengus,120,188.072309
BITS,1991,1,24,126417,Clupea harengus,125,262.0224
BITS,1991,1,24,126417,Clupea harengus,130,246.343233
BITS,1991,1,24,126417,Clupea harengus,135,236.045581
BITS,1991,1,24,126417,Clupea harengus,140,308.70036
BITS,1991,1,24,126417,Clupea harengus,145,97.921367
BITS,1991,1,24,126417,Clupea harengus,150,60.679583
BITS,1991,1,24,126417,Clupea harengus,155,25.769561
BITS,1991,1,24,126417,Clupea harengus,160,17.953782
BITS,1991,1,24,126417,Clupea harengus,165,28.309114
BITS,1991,1,24,126417,Clupea harengus,170,41.019221
BITS,1991,1,24,126417,Clupea harengus,175,67.403461
BITS,1991,1,24,126417,Clupea harengus,180,156.531703
BITS,1991,1,24,126417,Clupea harengus,185,116.402794
BITS,1991,1,24,126417,Clupea harengus,190,136.335338
BITS,1991,1,24,126417,Clupea harengus,195,88.626432
BITS,1991,1,24,126417,Clupea harengus,200,112.93993
BITS,1991,1,24,126417,Clupea harengus,205,109.590221
BITS,1991,1,24,126417,Clupea harengus,210,77.604583
BITS,1991,1,24,126417,Clupea harengus,215,84.58693
BITS,1991,1,24,126417,Clupea harengus,220,35.072955
BITS,1991,1,24,126417,Clupea harengus,225,68.526522
BITS,1991,1,24,126417,Clupea harengus,230,37.698264
BITS,1991,1,24,126417,Clupea harengus,235,39.921853
BITS,1991,1,24,126417,Clupea harengus,240,48.577925
BITS,1991,1,24,126417,Clupea harengus,245,25.732074
BITS,1991,1,24,126417,Clupea harengus,250,38.697542
BITS,1991,1,24,126417,Clupea harengus,255,22.90765
BITS,1991,1,24,126417,Clupea harengus,260,29.134446
BITS,1991,1,24,126417,Clupea harengus,265,13.983666
BITS,1991,1,24,126417,Clupea harengus,270,19.895137
BITS,1991,1,24,126417,Clupea harengus,275,9.727561
BITS,1991,1,24,126417,Clupea harengus,280,7.129208
BITS,1991,1,24,126417,Clupea harengus,285,3.599116
BITS,1991,1,24,126417,Clupea harengus,290,5.305081
BITS,1991,1,24,126417,Clupea harengus,295,2.665975
BITS,1991,1,24,126417,Clupea harengus,300,2.075525
BITS,1991,1,24,126417,Clupea harengus,305,0.189467
BITS,1991,1,24,126417,Clupea harengus,310,0.506447
BITS,1991,1,25,126417,Clupea harengus,0,0
BITS,1991,1,25,126417,Clupea harengus,105,0.036703
BITS,1991,1,25,126417,Clupea harengus,110,0.183789
BITS,1991,1,25,126417,Clupea harengus,120,0.19113
BITS,1991,1,25,126417,Clupea harengus,125,0.653866
BITS,1991,1,25,126417,Clupea harengus,130,1.895804
BITS,1991,1,25,126417,Clupea harengus,135,2.441891
BITS,1991,1,25,126417,Clupea harengus,140,6.46233
BITS,1991,1,25,126417,Clupea harengus,145,4.511364
BITS,1991,1,25,126417,Clupea harengus,150,6.676762
BITS,1991,1,25,126417,Clupea harengus,155,4.605722
BITS,1991,1,25,126417,Clupea harengus,160,6.959879
BITS,1991,1,25,126417,Clupea harengus,165,7.94729
BITS,1991,1,25,126417,Clupea harengus,170,11.070087
BITS,1991,1,25,126417,Clupea harengus,175,17.066729
BITS,1991,1,25,126417,Clupea harengus,180,24.187826
BITS,1991,1,25,126417,Clupea harengus,185,43.27156
BITS,1991,1,25,126417,Clupea harengus,190,48.350671
BITS,1991,1,25,126417,Clupea harengus,195,28.940891
